Year,Africa Western and Central,Angola,Burundi,Benin,Burkina Faso,Botswana,Central African Republic,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Comoros,Cabo Verde,Djibouti,Algeria,"Egypt, Arab Rep.",Eritrea,Ethiopia,Gabon,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Kenya,Liberia,Libya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Sudan,Senegal,Sierra Leone,Somalia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Eswatini,Seychelles,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe
1990,27.44,12.45,0,11.63,4.3,4.22,0.22,30.43,0,19.29,18.41,45.55,52.79,97.9,95.89,17.98,0,69.12,22.33,0.43,11.12,0,63.62,0,0,100,0,58.36,5.84,0,0,5.2,99.04,0.41,25.16,2.38,27.3,0,32.8,21.21,0,0,18,0,18.01,0,91.82,0,0,92.69,0,0,63.19,13.9,28.02
1991,28.26,13.59,0,12.61,4.77,10.1,0.71,29,0.17,20.28,20.63,47.09,53.09,97.96,96.02,19.09,0,69.87,24.38,1.84,12.83,0,63.72,0,0,100,0,59.67,6.58,0,0,6.58,99.07,0.83,26.13,2.92,35.23,0,26.92,22.8,0,0,18.92,0,18.94,0,92.08,0,1.17,92.93,0,5.6,64.09,12.75,28.6
1992,29.07,14.72,0,13.59,5.24,9.4,1.21,32.7,0.85,21.28,22.84,48.64,53.38,98.02,93.4,20.2,0,70.62,26.42,3.24,14.55,0,63.82,0,0,100,0,49.2,9.2,0,0,7.96,99.1,3.2,26.4,4.4,36.1,2.3,27.41,24.39,0.17,0,19.85,0,19.86,0,92.33,0.01,2.99,93.17,6.8,0,64.99,19.2,28.2
1993,31.58,15.86,0,14.56,6.1,11.64,1.7,33.85,1.53,22.27,25.06,50.18,53.68,98.07,95.39,21.31,0,71.37,30.6,4.65,17.7,0,63.92,10.9,0,100,0,56.77,10.11,0,0,9.34,99.13,1.55,27,4.01,36.96,0,27.9,26,1.04,0,20.77,0,20.78,0,92.59,0.39,4.81,93.41,2.33,0,65.88,14.21,31.16
1994,32.61,16.99,0.19,15.54,6.13,13.88,2.19,35,2.21,23.26,27.28,51.72,53.97,98.13,95.65,22.42,0,72.13,30.37,6.05,18.25,0,64.03,3.47,0,100,0,58.61,10.56,0,0,10.72,99.15,2.01,28.93,4.57,37.83,0,28.38,27.19,1.91,0,21.69,0,21.7,2.77,90,0.76,6.63,86.8,3.3,0.53,66.78,14.94,28.1
1995,33.61,18.13,0.55,16.51,6.63,16.13,3,36.15,2.89,24.25,29.49,53.26,54.27,98.18,95.5,22.9,0,72.88,32.45,7.45,19.92,0,64.13,5.43,0,100,0,56.5,11.02,0,0,12.1,99.18,2.47,29.95,6.2,38.69,0,28.87,28.86,2.77,0,22.61,0,22.62,5.66,92.17,1.14,8.44,88.7,4.27,6.8,67.68,15.67,31.95
1996,32.63,19.26,0.91,14.5,7.12,18.36,3.33,37.29,3.57,25.24,28.9,54.81,62,98.24,96.15,24.76,0,73.63,34.53,8.86,21.59,0,64.23,7.38,0,100,0,62.27,11.47,6.2,1.04,13.49,99.2,2.93,30.97,7,39.55,0,29.35,30.52,3.64,0,28.38,0,28.39,8.55,92.55,1.52,10.26,90.4,9.4,2.81,57.6,17.3,32.34
1997,32.46,20.4,1.27,18.59,7.62,20.6,3.83,38.44,4.25,26.24,32.76,56.35,56.29,98.3,96.4,25.87,0.15,74.38,36.6,10.26,23.26,0,64.33,9.33,0,100,0,64.1,10.9,4.29,6.6,14.87,99.22,3.38,31.98,6.24,40.4,1.03,29.83,32.2,4.51,0,28.26,0,28.27,11.44,92,2.3,12.08,92,6.2,3.94,69.48,17.11,32.72
1998,33.46,21.54,3.9,19.58,8.11,22.83,4.32,40.7,4.93,27.23,35.09,57.89,56.32,98.35,96.65,26.99,2.2,75.13,42.6,11.67,24.92,0,64.43,14.5,0,100,0,65.93,12.36,6.07,3.66,16.25,99.24,3.83,32.99,6.7,41.25,2.17,30.31,33.84,5.37,0,28.47,0,28.48,14.33,93.3,2.42,15.3,93.2,7.16,5.07,64.9,19,33.1
1999,34.81,22.67,2.07,20.56,6.9,25.05,4.81,40.71,5.61,28.22,37.42,59.43,56.35,98.41,96.89,28.1,4.25,75.88,40.74,16.4,26.57,0,64.53,13.21,0,99.43,0,67.75,12.8,7.84,4.88,17.63,99.25,4.27,34,7.33,44.9,3.32,30.78,36.2,6.24,2.48,30.04,0,30.05,17.22,93.67,2.81,16.07,94.2,8,6.2,71.33,18.54,38.4
