Country Name,Region,IncomeGroup,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Africa Western and Central,Africa Western and Central,Others,27.44,28.26,29.07,31.58,32.61,33.61,32.63,32.46,33.46,34.81,34.14,35.23,35.72,39.82,37.49,37.79,39.82,40.76,41.74,41.87,41.84,45.91,44.05,47.05,47.65,46.76,50.9,48.79,51.21,51.16,51.73,54.22,53.44,54.25,55.06,55.87,56.68,57.49,58.31,59.11,59.93
Angola,Sub-Saharan Africa,Lower middle income,12.45,13.59,14.72,15.86,16.99,18.13,19.26,20.4,21.54,22.67,24.24,20,26.32,27.36,28.4,29.45,30.52,37.5,38.49,33.85,34.98,34.6,37.26,38.4,32,42,41.79,42.91,45.29,45.63,46.96,48.22,48.77,49.9,51.04,52.17,53.3,54.43,55.57,56.7,57.83
Burundi,Sub-Saharan Africa,Low income,0,0,0,0,0.19,0.55,0.91,1.27,3.9,2.07,2.54,2.83,3.12,3.4,3.69,3.21,2.66,4.65,4.8,5.39,5.3,6.16,6.5,6.9,7,7.89,8.48,9.3,9.51,9.84,9.1,10.23,10.19,10.55,10.9,11.25,11.6,11.95,12.3,12.65,13
Benin,Sub-Saharan Africa,Lower middle income,11.63,12.61,13.59,14.56,15.54,16.51,14.5,18.59,19.58,20.56,21.53,21.9,23.36,24.27,25.18,26.1,27.9,28.01,28.99,29.99,34.2,36.9,38.4,34.65,34.1,29.62,37.03,34.5,39.01,40,40.99,41.97,42.83,43.8,44.78,45.75,46.72,47.7,48.67,49.64,50.62
Burkina Faso,Sub-Saharan Africa,Low income,4.3,4.77,5.24,6.1,6.13,6.63,7.12,7.62,8.11,6.9,9.1,9.51,9.92,11.4,10.73,11.15,11.59,12.05,12.52,12.63,13.1,14.78,15.07,15.39,19.2,16.15,16.57,17.01,14.4,17.6,18.47,18.95,19.28,19.75,20.22,20.68,21.15,21.61,22.08,22.55,23.01
Botswana,Sub-Saharan Africa,Upper middle income,4.22,10.1,9.4,11.64,13.88,16.13,18.36,20.6,22.83,25.05,26.52,24.8,27,33.07,35.26,37.46,39.68,41.92,44.5,43.36,52.03,53.24,55.97,57.97,60.02,62.13,64.2,67.4,68.25,70.1,71.83,73.73,76.94,79.21,81.48,83.75,86.02,88.29,90.56,92.83,95.1
Central African Republic,Sub-Saharan Africa,Low income,0.22,0.71,1.21,1.7,2.19,3,3.33,3.83,4.32,4.81,6,5.71,6.13,6.56,6.99,7.43,7.81,8.38,7.48,9.39,9.8,10.44,10.97,11.5,12.04,12.71,13.4,14.07,14.64,14.3,15.41,15.68,16.01,16.5,16.99,17.48,17.97,18.47,18.96,19.45,19.94
Cameroon,Sub-Saharan Africa,Lower middle income,30.43,29,32.7,33.85,35,36.15,37.29,38.44,40.7,40.71,41,46.2,44.04,45.09,47.1,47.22,49,48.2,50.55,51.69,52.85,53.7,55.16,56.32,56.8,58.62,59.76,60.9,62.2,63.18,64.31,65.45,66.52,67.64,68.77,69.9,71.02,72.15,73.28,74.4,75.53
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,0,0.17,0.85,1.53,2.21,2.89,3.57,4.25,4.93,5.61,6.7,7.11,7.73,8.34,8.96,6,10.24,15.2,11.6,12.3,13.01,13.73,15.4,15.17,13.5,16.58,17.29,17.99,18.68,19.1,20.07,20.77,21.21,21.89,22.57,23.24,23.92,24.59,25.27,25.95,26.62
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,19.29,20.28,21.28,22.27,23.26,24.25,25.24,26.24,27.23,28.22,29.42,30.33,31.23,32.12,33.02,33.8,34.87,35.83,36.8,37.1,40.01,40.82,41.6,42.5,43.4,44.33,45.28,46.21,47.04,47.73,48.68,49.66,51,51.99,52.98,53.97,54.96,55.95,56.94,57.93,58.92
